"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 16 11:33:27 UTC 2025","Fri May 16 11:33:27 UTC 2025","369","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testUpdateBookInvalidDataTypeID","Update Book with invalid Data type ID",""
"unknown","Fri May 16 11:33:22 UTC 2025","Fri May 16 11:33:22 UTC 2025","0","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testUpdateBookWithMisMatchingID","Update Book with mismatching ID",""
"passed","Fri May 16 11:33:19 UTC 2025","Fri May 16 11:33:20 UTC 2025","473","API Test Suite","Authors Tests","com.api.test.tests.AuthorTests","com.api.test.tests.AuthorTests","testDeleteAuthorWithInvalidIdFormat","Delete author with invalidIDFormat",""
"passed","Fri May 16 11:33:22 UTC 2025","Fri May 16 11:33:22 UTC 2025","371","API Test Suite","Authors Tests","com.api.test.tests.AuthorTests","com.api.test.tests.AuthorTests","updateAuthor","Update Author with valid data",""
"unknown","Fri May 16 11:33:17 UTC 2025","Fri May 16 11:33:17 UTC 2025","0","API Test Suite","Authors Tests","com.api.test.tests.AuthorTests","com.api.test.tests.AuthorTests","testCreateAuthorWithInvalidDataType","Create an Author with invalid data type","Expected to fail due to bug XYZ"
"passed","Fri May 16 11:33:25 UTC 2025","Fri May 16 11:33:26 UTC 2025","379","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testGetBookByInvalidIdDataType","Get a book by invalid ID data ype",""
"passed","Fri May 16 11:33:20 UTC 2025","Fri May 16 11:33:20 UTC 2025","362","API Test Suite","Authors Tests","com.api.test.tests.AuthorTests","com.api.test.tests.AuthorTests","testDeleteAuthorWithValidId","Delete author with valid Id",""
"passed","Fri May 16 11:33:18 UTC 2025","Fri May 16 11:33:19 UTC 2025","1762","API Test Suite","Authors Tests","com.api.test.tests.AuthorTests","com.api.test.tests.AuthorTests","testCreateAuthor","Create an Author with valid data","Expected to fail due to bug XYZ"
"unknown","Fri May 16 11:33:17 UTC 2025","Fri May 16 11:33:17 UTC 2025","0","API Test Suite","Authors Tests","com.api.test.tests.AuthorTests","com.api.test.tests.AuthorTests","updateAuthorMistMatchID","Update Author with mismatch id",""
"unknown","Fri May 16 11:33:22 UTC 2025","Fri May 16 11:33:22 UTC 2025","0","API Test Suite","Books Tests","com.api.test.tests.BooksTests","com.api.test.tests.BooksTests","testGetBookById","Get a book by ID and validate fields",""
